target_id	length	eff_length	est_counts	tpm
ABV71498.1	678	466.249	0	0
ABV71499.1	681	469.249	2	495.006
ABV71500.1	744	532.249	3	654.622
ABV71501.1	558	346.685	0	0
ABV71502.1	648	436.417	1	266.123
ABV71503.1	846	634.249	10	1831.15
ABV71504.1	786	574.249	4	808.991
ABV71505.1	933	721.249	7	1127.19
ABV71506.1	789	577.249	0	0
ABV71507.1	930	718.249	3	485.099
ABV71508.1	882	670.249	3	519.839
ABV71509.1	825	613.249	10	1893.86
ABV71510.1	723	511.249	5	1135.85
ABV71511.1	765	553.249	5	1049.62
ABV71512.1	720	508.249	3	685.533
ABV71513.1	1731	1519.25	12	917.352
ABV71514.1	1779	1567.25	2	148.209
ABV71515.1	1503	1291.25	1	89.9443
ABV71516.1	1812	1600.25	4	290.306
ABV71517.1	1086	874.249	18	2391.23
ABV71518.1	1065	853.249	83	11297.6
ABV71519.1	1389	1177.25	12	1183.85
ABV71520.1	1050	838.249	34	4710.75
ABV71521.1	486	274.911	11	4647.12
ABV71522.1	546	334.685	17	5899.25
ABV71523.1	348	141.719	5	4097.56
ABV71524.1	492	280.911	28	11576.4
ABV71525.1	195	39.9811	2	5809.77
ABV71526.1	933	721.249	9	1449.24
ABV71527.1	513	301.803	1	384.822
ABV71528.1	705	493.249	11	2590.06
ABV71529.1	1254	1042.25	46	5125.9
ABV71530.1	912	700.249	91	15092.9
ABV71531.1	660	448.417	5	1295.01
ABV71532.1	183	35.0467	0	0
ABV71533.1	321	119.324	8	7786.56
ABV71534.1	453	242.092	53	25426.1
ABV71535.1	501	289.911	89	35654.1
ABV71536.1	855	643.249	1	180.553
ABV71537.1	669	457.417	1	253.905
ABV71538.1	369	161.251	0	0
ABV71539.1	708	496.249	1	234.037
ABV71540.1	771	559.249	2	415.345
ABV71541.1	819	607.249	3	573.771
ABV71542.1	222	53.3635	1	2176.4
ABV71543.1	1422	1210.25	9	863.677
ABV71544.1	984	772.249	12	1804.71
ABV71545.1	309	109.37	0	0
ABV71546.1	729	517.249	10	2245.35
ABV71547.1	315	114.361	14	14217.9
ABV71548.1	1104	892.249	2	260.332
ABV71549.1	297	99.8355	0	0
ABV71550.1	1023	811.249	5	715.813
ABV71551.1	372	163.831	1	708.903
ABV71552.1	312	111.934	447	463798
ABV71553.1	855	643.249	5	902.765
ABV71554.1	903	691.249	14	2352.22
ABV71555.1	1971	1759.25	88	5809.5
ABV71556.1	567	355.685	1	326.527
ABV71557.1	1827	1615.25	0	0
ABV71558.1	1026	814.249	5	713.176
ABV71559.1	1083	871.249	7	933.124
ABV71560.1	366	158.488	15	10992.1
ABV71561.1	2016	1804.25	38	2446.08
